X,Y
212,306
212,305
212,305
212,305
212,306
214,307
212,307
214,309
220,311
228,313
242,314
257,315
278,316
303,317
330,318
356,318
372,316
388,315
406,315
422,314
436,313
450,312
462,311
472,309
478,309
482,307
488,306
490,305
486,307
482,308
476,310
468,310
460,311
448,313
434,314
420,315
402,315
384,316
368,317
350,317
332,318
313,316
296,316
280,315
265,315
252,314
242,312
232,312
224,311
218,310
214,309
212,308
212,305
212,305
212,305
212,305
212,305
212,308
218,311
242,314
282,317
340,318
382,316
422,314
454,311
476,309
490,306
478,309
456,312
424,315
384,316
344,318
295,317
212,304
212,305
212,305
212,305
212,305
226,312
326,318
432,313
486,306
490,304
212,304
212,304
212,304
212,304
212,305
250,314
398,315
486,306
212,305
212,305
212,305
212,305
212,305
334,316
